baseline,true_category,pred_category,count
nn_render_front,dress_sleeveless_2550,dress_sleeveless_2550,383
nn_render_front,jacket_2200,jacket_2200,326
nn_render_front,jacket_2200,tee_2300,4
nn_render_front,jacket_hood_2700,jacket_hood_2700,404
nn_render_front,jacket_hood_2700,tee_sleeveless_1800,1
nn_render_front,jumpsuit_sleeveless_2000,jumpsuit_sleeveless_2000,300
nn_render_front,pants_straight_sides_1000,pants_straight_sides_1000,149
nn_render_front,pants_straight_sides_1000,skirt_8_panels_1000,1
nn_render_front,skirt_2_panels_1200,skirt_2_panels_1200,180
nn_render_front,skirt_4_panels_1600,skirt_4_panels_1600,240
nn_render_front,skirt_8_panels_1000,skirt_8_panels_1000,150
nn_render_front,tee_2300,jacket_2200,1
nn_render_front,tee_2300,jacket_hood_2700,1
nn_render_front,tee_2300,tee_2300,343
nn_render_front,tee_sleeveless_1800,tee_sleeveless_1800,270
nn_render_front,wb_dress_sleeveless_2600,jacket_2200,1
nn_render_front,wb_dress_sleeveless_2600,wb_dress_sleeveless_2600,389
nn_render_front,wb_pants_straight_1500,wb_pants_straight_1500,225
